texto,nota,data,app
muito bom,5,2026-04-03 23:41:42,Duolingo
"O Duolingo e perfeito aprendi bastante com ele, mas o problema agora é que tem a energia que acaba mesmo eu acertando a lição, isso acaba estragando o app! Peço que melhore pois vai acabar com o app ! tirando esse problema grande recomendo!",1,2026-04-03 23:35:49,Duolingo
"Ola, esse aplicativo e muito BOM CARAAAAAAA",5,2026-04-03 23:27:16,Duolingo
muito bom! me distrai.,5,2026-04-03 23:26:48,Duolingo
eu aprendi inglês!!!,5,2026-04-03 23:23:07,Duolingo
muito bom eu aprendi muito muita coisa,5,2026-04-03 23:22:58,Duolingo
"App bom, mas nao consigo fazer as videos chamadas, estou atualmente testando o max mas a opção dos videos nao aparecem...na verdade desapareceram desde o inicio do teste, isso é beem frustrante...",3,2026-04-03 23:22:29,Duolingo
está me ajudando muito,5,2026-04-03 23:21:07,Duolingo
"amoo, estou evoluindo cada vez mas no Duo",5,2026-04-03 23:19:41,Duolingo
tem muito anúncio,3,2026-04-03 23:19:12,Duolingo
e muito bom tô aprendendo até tirei 10 no trabalho de inglês recomendo muito 🤠👍,4,2026-04-03 23:00:45,Duolingo
"é muito bom mesmo, eu estou aprendendo várias palavras como Bread, tea, thank you, hello.빵, 차, 감사합니다, 안녕하세요. etc🩷",5,2026-04-03 23:00:43,Duolingo
"É bom, mas está com um bug que quando entra em uma tela de carregamento, ele trava e nunca conclui a fase.",4,2026-04-03 22:57:50,Duolingo
incrível demais,5,2026-04-03 22:54:15,Duolingo
bom para aprender rápido assim quando. não presisa gastar para curso de inglês. eu acho..?,4,2026-04-03 22:52:50,Duolingo
eu ja estava acostumado com a forma antiga tanto que tinha juntando mil diamantes ai colocaram isso que a energia se erra uma vez não da pra fazer duad lições e para recaregar e 450 diamantes gastei tudo em um dia e como os niveis mais altos e difcil pra chegar a parte de poder ir pro proximo trofeu não saio do vermelho de rebaixamento quase e estou no nivel perola so ainda sinceramente que forma gananciosa de fazer as pessoas poder estudar não e mais como antigamente deviam ser envergonhar,2,2026-04-03 22:52:42,Duolingo
"Bom vocabulário, ótimas explicações e jeito agradável de estudar!",5,2026-04-03 22:51:23,Duolingo
app ótimo você pode estudar inglês matemática e etc app Muito bom e legal,5,2026-04-03 22:46:54,Duolingo
Achando muito interessante. 👏,5,2026-04-03 22:44:09,Duolingo
você vai aprender muito e não tem só inglês tem muito mais,5,2026-04-03 22:42:33,Duolingo
"Estou gostando bastante, bem didático.",5,2026-04-03 22:41:27,Duolingo
bom 👍,5,2026-04-03 22:41:09,Duolingo
muito divertido!!!,5,2026-04-03 22:40:53,Duolingo
"muito bom mesmo, recomendo super",5,2026-04-03 22:39:32,Duolingo
me AMEAÇOU,1,2026-04-03 22:38:09,Duolingo
Estou voltando a praticar inglês e tem sido divertido,5,2026-04-03 22:38:00,Duolingo
Duolingo é muito bom ele me ajuda muito eu também deve ajudar muitos outros thank you goodbye,5,2026-04-03 22:36:59,Duolingo
muito bom melhor do que a escola,5,2026-04-03 22:35:36,Duolingo
muito legal,5,2026-04-03 22:32:28,Duolingo
"Estou amando, aprendi muito com o Duolingo, o melhor app para aprender um idioma, gratidão aos professores 🙏 recomendo.❤️🙏",4,2026-04-03 22:30:35,Duolingo
muito legal e você pode tirar 10 na prova quanto em inglês quanto matemática,5,2026-04-03 22:28:02,Duolingo
ele é ótimo para crianças aprenderem novas linguas❤,5,2026-04-03 22:23:06,Duolingo
estou aprendendo muita coisas tá me ajudando muito,5,2026-04-03 22:18:51,Duolingo
muito bom,5,2026-04-03 22:18:21,Duolingo
aprendendo muito,3,2026-04-03 22:14:49,Duolingo
excelente aplicativo.,5,2026-04-03 22:14:11,Duolingo
"recomendo, muito bom",5,2026-04-03 22:13:48,Duolingo
"EU CONSIGO APRENDER MUITO! recomendo vc instalar para aprender,mas só não dei cinco estrelas pq quando eu estou muito ocupada estudando para provas ou fazendo coisas importantes no meu celular o duo fica mandando mensagem pelo meu email independente se eu até exclui a conta;-;",4,2026-04-03 22:13:36,Duolingo
"o duolingo e ótimo, super recomendo",4,2026-04-03 22:11:34,Duolingo
Até o momento estou gostando das aulas.,5,2026-04-03 22:09:07,Duolingo
"é muito bom mesmo, ajuda muito",5,2026-04-03 22:00:54,Duolingo
muito bom até porque isso é muito bom você pode viajar e falar com outras pessoas sem ser na sua língua,5,2026-04-03 22:00:30,Duolingo
"a great app to practice a little bit every day, but u won't learn any language, btw, train with yt and some app to talk, listen contents in this language and make a persona for this, it's easy to learn some language with some persevarance. sorry for my bad english.",5,2026-04-03 21:58:46,Duolingo
Sensacional,5,2026-04-03 21:58:20,Duolingo
código para xadrez,5,2026-04-03 21:58:00,Duolingo
ótimo para estudos e super companheiro no seu dispositivo,5,2026-04-03 21:56:50,Duolingo
sempre amei o Duolingo ❤️❤️,5,2026-04-03 21:56:47,Duolingo
é muito bomm!!,5,2026-04-03 21:55:27,Duolingo
muito bom,5,2026-04-03 21:54:54,Duolingo
"gastei minhas gemas para recarregar a vida, pra terminar uma lição, o negócio simplesmente buga, gasta minhas gemas, e não deu minhas vidas!",1,2026-04-03 21:50:05,Duolingo
muito bom,5,2026-04-03 21:47:22,Duolingo
É super educativo e ensina muito bem,5,2026-04-03 21:45:02,Duolingo
aprendo muito rápido e estou a comessar a gostar i'm really like this!!🪶🌐📲📖,5,2026-04-03 21:34:03,Duolingo
ELE FICA BRAVO,1,2026-04-03 21:32:47,Duolingo
ótimo para aprender outros idiomas!,5,2026-04-03 21:31:25,Duolingo
gostei,5,2026-04-03 21:29:33,Duolingo
e bom mais a inegia acabar,4,2026-04-03 21:26:16,Duolingo
e bom aprendi um monte de palavras só não gosto muito porque tem vida,3,2026-04-03 21:26:03,Duolingo
"muito bom, super indico.",5,2026-04-03 21:23:21,Duolingo
e ótimo pra aprender as línguas diferentes que tem gente que não conhece algumas línguas,5,2026-04-03 21:18:05,Duolingo
ta me ensinado dms a aprender japonês,5,2026-04-03 21:16:44,Duolingo
é incrível pra aprender,5,2026-04-03 21:15:42,Duolingo
muito top top,5,2026-04-03 21:14:09,Duolingo
MUITO legal,5,2026-04-03 21:13:06,Duolingo
muito bom,5,2026-04-03 21:08:18,Duolingo
cara gosto muito a Lily a roxinha muito top ela,5,2026-04-03 21:05:42,Duolingo
muito bom aplicativo recomendo só que eles colocaram o novo sistema de energias e eu vejo propaganda incentivando assinar o teste grátis do super só que são só 2 semanas com os dois testes grátis então o app literalmente te limita se fosse energia sem limite ou não tivesse energia de graça eu daria 5 estrelas de boa eu quero atualização de energia grátis para todo mundo,2,2026-04-03 21:02:55,Duolingo
é muito bom para aprender novas línguas.☺️🎉💯❤️👥,5,2026-04-03 21:01:02,Duolingo
muito l3gal,5,2026-04-03 20:58:13,Duolingo
"o app é bom para aprender coisas básicas, agora para aprender o idioma, formar frases e conversas ele não é bom. e também, o meu Duolingo fica criando novos aplicativos do Duolingo, isso faz com que eu tenha muitos aplicativos iguais, que depois não consigo excluir nenhum",2,2026-04-03 20:56:22,Duolingo
"Muito bom e divertido, excelente para aprender melhor!",5,2026-04-03 20:56:16,Duolingo
te amo Duolingo ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️❣️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️🦠♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️❣️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️❣️❣️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥,5,2026-04-03 20:56:04,Duolingo
"O aplicativo eh legal mas a cada lição uma propaganda do próprio aplicativo. Se fosse de outras empresas tudo bem, faz sentido. Mas do próprio aplicativo é chato demais. Se a pessoa não assinou na primeira, na segunda ou na terceira, não vai assinar em qualquer outra mais. Se o conteúdo já eh limitado pra quem não eh assinante, pra que tanta propaganda?",3,2026-04-03 20:54:14,Duolingo
tô aprendendo alemão und du,5,2026-04-03 20:51:42,Duolingo
ótimo para aprender novas línguas.,5,2026-04-03 20:50:46,Duolingo
consigo aprender fala várias línguas,5,2026-04-03 20:49:05,Duolingo
"MUITO BOMMM! SÉRIO,A MAIOR E MELHOR PLATAFORMA PARA APRENDER NOVAS LÍNGUAS,ESSE DUO...MEU POMBO VERDE!",5,2026-04-03 20:47:58,Duolingo
não gostei muito porque eles não aceitam Pix mas o resto está tudo certo,3,2026-04-03 20:44:25,Duolingo
😃👍🥬,5,2026-04-03 20:43:13,Duolingo
E bom,4,2026-04-03 20:41:14,Duolingo
"aplicativo ótimo , realmente aprendi inglês e mais!!!! amei o Duolingo recomendo, super ótimo, amei 5 estrelas, só acho que poderia ter mais opções de aulas",5,2026-04-03 20:40:56,Duolingo
muito bom,5,2026-04-03 20:39:30,Duolingo
"Estou evoluindo em cada lição, certeza que vou me aperfeiçoar no inglês, esse aplicativo é muito bom.",5,2026-04-03 20:37:34,Duolingo
gostei muito,5,2026-04-03 20:33:29,Duolingo
muito bom recomendo super,5,2026-04-03 20:32:35,Duolingo
Muito legal aprender muito nota10,5,2026-04-03 20:32:25,Duolingo
agora o meu aprendizado de outras línguas melhorou 10/10,5,2026-04-03 20:32:10,Duolingo
eu tô apaixonada por ele eu te amo duo🫶🫶🫶♥️,5,2026-04-03 20:31:06,Duolingo
bom,5,2026-04-03 20:30:50,Duolingo
e muito bom para aprender e desenvolvimento da pessoa 😃 gostei muito,5,2026-04-03 20:27:30,Duolingo
"Aplicativo limita.o tempo de uso, forçando a assinatura, migrando para outro app",1,2026-04-03 20:26:33,Duolingo
muito bom adoro a aprender com o meu amigo doligo,5,2026-04-03 20:18:02,Duolingo
sou grato!,5,2026-04-03 20:13:49,Duolingo
excelente,5,2026-04-03 20:10:36,Duolingo
Excelente!!!,5,2026-04-03 20:08:35,Duolingo
e muito bom,5,2026-04-03 20:07:27,Duolingo
muito bom(dizendo isso pra não ser sequestrado),5,2026-04-03 20:06:00,Duolingo
só faltou o idioma de Portugal mas amo o Duolingo já tô um ano com ele 🥹🫶❤,5,2026-04-03 20:05:51,Duolingo
"Se você está lendo isso antes de instalar o Duolingo, NUNCA instale-o! Eu usava o Duolingo desde março de 2022, quando eu tinha 7 anos, para fazer cursos de inglês. Em janeiro de 2026, eu desinstalei porque o Duolingo tá muito mais ameaçador! À noite, tanto o widget quanto o ícone ficam mais assustadores, te ameaçando só por causa de não fazer uma lição, o pior é que é todo dia! E outra é a energia e a IA, que não consigo explicar pelos caracteres! Enfim, NUNCA INSTALE ISSO para o BEM DE VOCÊS!",1,2026-04-03 20:05:01,Duolingo
miito bom,5,2026-04-03 20:03:21,Duolingo
Duolingo excelente para quem quer conhecer e estudar inglês.,5,2026-04-03 20:03:15,Duolingo
muito bom,5,2026-04-03 20:03:02,Duolingo
"tá usando ia e demitido alguns funcionários, está com muito conteúdo pago e esse negócio de energia é horrível.",3,2026-04-03 20:01:12,Duolingo
o melhor aplicativo para aprender idiomas de forma divertida,5,2026-04-03 19:57:53,Duolingo
"incrível, simplesmente incrível.",5,2026-04-03 19:57:34,Duolingo
recomendo usar para auxiliar nas atividades de inglês escolares,5,2026-04-03 19:57:20,Duolingo
"ajuda muito,é pratico,fácil eu ameiiiii",5,2026-04-03 19:55:30,Duolingo
eu gostei muito desse aplicativo ajuda bastante,5,2026-04-03 19:54:59,Duolingo
"Muito bom, me chama direto, só esqueço se quiser.",5,2026-04-03 19:54:41,Duolingo
divo,5,2026-04-03 19:51:11,Duolingo
e muito bom,5,2026-04-03 19:50:42,Duolingo
esta sendo divertido,5,2026-04-03 19:50:41,Duolingo
Com o Duolingo estou aprendendo meu segundo idioma aos 70 anos de idade. Estou feliz com o resultado desse grande desafio.,5,2026-04-03 19:50:06,Duolingo
ótimo....,5,2026-04-03 19:48:42,Duolingo
ele aprende língua e musica e xadrez ♟️,5,2026-04-03 19:47:56,Duolingo
e incrível a única coisa para falar esse Apple é simplesmente INCRÍVEL!!! ___ ( *; *),5,2026-04-03 19:45:29,Duolingo
bom,5,2026-04-03 19:42:36,Duolingo
"muito bom o aprendizado, um dos melhores apps que já instalei",5,2026-04-03 19:41:31,Duolingo
muito bom,5,2026-04-03 19:36:44,Duolingo
Duolingo ensina de maneira lúdica. Estou realizando o sonho de aprender Xadrez e adorando. super recomendo.,5,2026-04-03 19:31:01,Duolingo
aprendi bastante palavras o que significa me enchendo o saco,5,2026-04-03 19:29:19,Duolingo
o jogo e muito mas muito muito muito muito muito muito legal mas eu não gostei muito por que pediu para minha mãe pagar se vc for criança vai aparecer no celular da sua mãe mas e muito legal jogo eu acho o dulingo muito mas muito fofo😊,5,2026-04-03 19:28:01,Duolingo
é muito bom eu amei dá para aprender inglês mas eu abaixei no haapy mod que é muito melhor que a Play Store,5,2026-04-03 19:26:57,Duolingo
excelent very good! I love you,5,2026-04-03 19:26:23,Duolingo
vc pode aprender xadrez um Monte de ideoma,5,2026-04-03 19:25:20,Duolingo
Muito legal mesmo,5,2026-04-03 19:20:44,Duolingo
"muito bom, bastante incentivo.",5,2026-04-03 19:20:08,Duolingo
muito bom,4,2026-04-03 19:19:42,Duolingo
não consigo jogar xadrez,3,2026-04-03 19:19:24,Duolingo
eu aprendi muito com boa língua agora sou fluente em inglês,5,2026-04-03 19:17:43,Duolingo
maravilhoso dois dias já consegui aprender muita coisa 🤩,5,2026-04-03 19:17:14,Duolingo
"Cada vez que atualiza esse aplicativo, ele fica mais bugado... Agora o bug é não escutar direito na leitura da palavra na tela com o microfone Eu repito várias vezes a mesma palavra com a mesma pronúncia e ele não escuta direito.",1,2026-04-03 19:12:37,Duolingo
"In Chess when I checkmate or ""This is not the best move"" the button of ""Continue,"" ""Undo"" or something like that is alone..."" and never loads or lets me do anything, and if I close and open the APP again it undoes everything I had done in the match. No Xadrez quando eu faço o xeque-mate ou aparece ""Esse não é o melhor lance"" o botão de ""Continuar"", ""Desfazer"" ou algo do tipo fica só ""..."" e nunca carrega nem deixa eu fazer nada, e se eu fecho e abro de novo o APP ele desfaz tudo o que eu fiz.",4,2026-04-03 19:12:30,Duolingo
muito bom mas quando eu falo no microfone não escuta,4,2026-04-03 19:10:49,Duolingo
e muito bom e sempre Q tou ocupada tento fazer Duolingo,4,2026-04-03 19:10:44,Duolingo
"O app além de ser grátis e ter poucos anúncios, entrega uma forma divertida e engajante de aprender uma nova língua. Dessa forma, os desenvolvedores estão de parabéns por colocar seus esforços para criar uma plataforma rica em detalhes e animações que tornam a jogabilidade fantástica,assim recomendo fortemente o APP para todos que querem tanto aprender quanto usar o celular de maneira mais produtiva.",5,2026-04-03 19:09:38,Duolingo
"mesmo desligando as animações continuam, fora que o botão para fechar a propaganda na verdade te leva para propaganda",1,2026-04-03 19:08:10,Duolingo
muito bom,5,2026-04-03 19:06:12,Duolingo
muito bom ótimo para estudar!!,5,2026-04-03 19:05:36,Duolingo
esse sistema de ENERGIA ESTRAGOU TUDO E PRECISA FAZER PERFIL PARA CONTINUAR O CURSOOOOOOOOOOOO,1,2026-04-03 19:01:49,Duolingo
"comecei a usar ano passado, dei uma parada, porém voltei essa semana, e esse app continua sendo excelente para estudar, estou fazendo inglês e achei ótimo, recomendo pra quem não sabe nada de inglês ou sabe pouco, se você é bom em inglês ou intermediário ele pode não servir a você.",5,2026-04-03 19:01:48,Duolingo
EU TÔ ADORANDO O DUO!!!!!!,5,2026-04-03 19:01:45,Duolingo
muito bom mesmo eu ameiiiii 😍😍😍,5,2026-04-03 19:00:21,Duolingo
ótimo 😁😁😁😁😊😊😊😊,5,2026-04-03 18:59:55,Duolingo
me ajudou muito recomendo demais,5,2026-04-03 18:57:18,Duolingo
gostei e bom pra quem que aprender uma parte boa de outras línguas estou fazendo inglês,5,2026-04-03 18:55:41,Duolingo
"Muito bom, só tenho agradecer ao Duo. Aplicativo muito necessário, ensinamentos excelentes, estou muito satisfeita.. Maravilha!!",5,2026-04-03 18:54:28,Duolingo
muito consigo aprender facilmente,5,2026-04-03 18:51:21,Duolingo
muito bom .....muito bom,5,2026-04-03 18:50:25,Duolingo
muito ótimo,5,2026-04-03 18:49:24,Duolingo
gente é muito bom eu aconselho você instalar gente muito bom mesmo não tem coisa melhor,5,2026-04-03 18:44:53,Duolingo
"app muito útil, e ensina enquanto se diverte, recomendo.",5,2026-04-03 18:40:39,Duolingo
Aplicativo bacana.,5,2026-04-03 18:38:47,Duolingo
"É legal e bom para aprender, mas não gosto desta ""energia"". Eu acho que o antigo sistema de vidas é melhor. Até quando eu acerto uma questão, essa ""energia "" diminui.",3,2026-04-03 18:35:18,Duolingo
maravilhoso ✨️✨️✨️✨️✨️✨️,5,2026-04-03 18:30:30,Duolingo
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🤩🤩🤩🤩🤩👍👍👍🤩🤩👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍o Duolingo tutatatituta,5,2026-04-03 18:27:51,Duolingo
"muito bom, parabéns aos desenvolvedores👏👏",5,2026-04-03 18:24:24,Duolingo
É um aplicativo melhor que a escola e muito motivador,5,2026-04-03 18:19:25,Duolingo
eu arasso no japonês,5,2026-04-03 18:16:53,Duolingo
rap é extremamente bom para aprender idiomas só que tem um problema. quando doulingo lá em 2025 ele tinha autorizado app que era um tipo de novos sistema porque ele mudou para a energia mas agora está muito ruim demais Por que energia fica descarregando mesmo errando e acertando. tem muitas pessoas que está procurando outros apps para aprender idioma por causa desse problema,4,2026-04-03 18:16:18,Duolingo
estou começando a entender inglês e instalei a menos de uma semana,5,2026-04-03 18:15:20,Duolingo
"Amo lições divertidas, anúncios mas não incomodam tanto, design fofo, te adoro duo!!! E aprendo muito",5,2026-04-03 18:14:27,Duolingo
"Muito bom, jeito simples e eficaz de aprender uma língua.",5,2026-04-03 18:12:38,Duolingo
Eu amo o duo mas...DEVOLVE MINHA VÓ (zuera),5,2026-04-03 18:08:58,Duolingo
Eu tô conseguindo aprender inglês.,5,2026-04-03 18:08:08,Duolingo
"Está APP é horrível, se alguém está a procurar de uma APP para aprender idiomas melhor não baixares isto só vais desperdiçar a sua internet.",1,2026-04-03 18:07:38,Duolingo
"desde de q atualizou para a energia parei de jogar pois é ROUBADISIMO.vc faz uma lição e a energia acaba,fica a minha crítica.",1,2026-04-03 18:03:54,Duolingo
Muito bom!,5,2026-04-03 18:03:25,Duolingo
e muito bom eu aprendi a falar novas palavras😍😘,5,2026-04-03 18:00:13,Duolingo
ameiii,5,2026-04-03 17:59:42,Duolingo
E MUITO LEGAL E EU ESTOU APRENDENDO MUITO MAIS INGLÊS,5,2026-04-03 17:58:22,Duolingo
"eu aprendo muitas palavras novas com o Duolingo, e eu consegui o super Duolingo com uma caixa de presentes (do próprio Duolingo) e agora posso aprender muitas coisas com energia ilimitada (por tempo limitado, é claro)",5,2026-04-03 17:54:13,Duolingo
é muito bom eu já aprendi acomas coisas no Duolingo,5,2026-04-03 17:51:17,Duolingo
adorando,5,2026-04-03 17:49:47,Duolingo
Amo o Duo💘,5,2026-04-03 17:48:28,Duolingo
muito legal,5,2026-04-03 17:47:12,Duolingo
"ajuda bastante a aprender o básico do inglês!, tem me ajudado, e é bastante legal.",5,2026-04-03 17:42:10,Duolingo
muito bom e simples,5,2026-04-03 17:34:24,Duolingo
ótimo aprendi muito coisa aqui ótimo,5,2026-04-03 17:32:47,Duolingo
eu não sei o básico eu consegui aprender palavras simples com o domingo,4,2026-04-03 17:28:28,Duolingo
Duolingo é uma app excepcional galera eu estou curtindo muito,5,2026-04-03 17:27:03,Duolingo
é muito incrível aprender com o Duolingo mas as vezes é preciso esforço para Você poder continuar assim com eu pratico sempre ✅,3,2026-04-03 17:25:11,Duolingo
gostei muito,5,2026-04-03 17:24:43,Duolingo
e ótimo,5,2026-04-03 17:22:40,Duolingo
"É um ótimo aplicativo, o melhor aplicativo que tem para aprender línguas que você não sabe (melhor até que a escola). Mas o aplicativo tem dois problemas que quebra, o sistema de energia, as divisões e as ofensivas zerarem... Eu fiquei de castigo por 7 dias, aí eu voltei para o Duolingo e estava zerado, e tinha sido rebaixado, se não tivesse como ser rebaixado seria muito melhor, e, se eu não tiver energia para fazer lição, eu posso ser rebaixado tbm... Desnecessário colocar esses sistemas...",3,2026-04-03 17:21:49,Duolingo
"E muito bom, mas o fato de não poder conversar com os amigos e trocar o nome e muito chato. espero q resolvam",4,2026-04-03 17:20:00,Duolingo
estou aprendendo muito inglês,1,2026-04-03 17:19:05,Duolingo
muito bom instalem,5,2026-04-03 17:17:48,Duolingo
ta bom,5,2026-04-03 17:14:45,Duolingo
Ei uso como auxiliar dos meus estudos de inglês e ele é ótimo 😁👍,5,2026-04-03 17:12:03,Duolingo
muito importante,5,2026-04-03 17:08:39,Duolingo
eu aprendi muito de inglês é muito bom e a gente aprende brincando,5,2026-04-03 17:05:44,Duolingo
muito bom,5,2026-04-03 17:04:23,Duolingo
eu tava aprendendo coreano com outra plataforma eu cancelei ela do meu smartphone e baixei DUOLINGO a plataforma que aprendo inglês espanhol japonês o que vc pensar ameiiiiii,5,2026-04-03 17:03:50,Duolingo
super top and funny..,5,2026-04-03 17:01:24,Duolingo
wow,3,2026-04-03 17:01:09,Duolingo
muito bom ☺️,5,2026-04-03 17:00:16,Duolingo
"muito obrigado 😃😃 mi zu , ku da sai",5,2026-04-03 16:59:39,Duolingo
Um aplicativo muito prestável. Estou a gostar muito...,5,2026-04-03 16:57:52,Duolingo
"muito bom,o único problema é que ele sequestrou minha vó.(zueira kkkk)",5,2026-04-03 16:54:33,Duolingo
bem interessante mesmo 😃,5,2026-04-03 16:54:32,Duolingo
mui5o ruim fica no meu pé todo dia,1,2026-04-03 16:53:49,Duolingo
o aplicativo é muito bom estou aprendendo bastante,5,2026-04-03 16:51:54,Duolingo
muito bom pra aprender,5,2026-04-03 16:51:48,Duolingo
"no começo e meio difícil, mais pós umas duas liçoes você já consegue entreperar bem o duo",4,2026-04-03 16:49:32,Duolingo
se passar dois dias sem fazer perde a ofensiva,2,2026-04-03 16:48:43,Duolingo
Depois da última atualização o xadrez tá travando faltando 1 jogada para o xeque-mate.,3,2026-04-03 16:46:19,Duolingo
"Amo sempre joguei vc consegue aprender brincando e s divertindo muito esse jogo eu acho muito educativo.Na minha prova de inglês eu tirei a nota máxima e eu nem estudei foi por causa do Duolingo ele nos ensina muito bem e tem gente que descordar da minha opinião mas cada um com a sua e temos que respeitar as opções dos outros,o Duolingo é muito bom e prestativo eu amo o Duolingo💕",5,2026-04-03 16:43:50,Duolingo
feijão com farinha 6. 7 🤷,4,2026-04-03 16:37:17,Duolingo
"Na verdade isso não merecia nenhuma estrela, você já foi melhor Duolingo. eu não sei o porquê de tirar o coração de vida e por bateria, desse jeito ninguém vai aprender nada",1,2026-04-03 16:35:41,Duolingo
"estou aprendendo japonês muito mas rápido, e isso ajuda para que eu possa me comunicar melhor, e muito bom no dia a dia, e o duo ainda tem vários idiomas que eu possa aprender muito mas, isso e d+, amo essa plataforma de estudos, eu recomendo essa plataforma, e ainda e de graça, e muito bom, use o duo e experimente vários idiomas diferentes só em um eppy, recomendo >:3.",5,2026-04-03 16:32:46,Duolingo
"é muito bom o doulingo. aí vc me pergunta porque. porque pode escolher qualquer idioma pra portugues, inglês e japonês. e também reforcei com Wizard",5,2026-04-03 16:31:45,Duolingo
estou muito ansioso para aprender cada dia um pouco de inglês com duolingo,5,2026-04-03 16:30:34,Duolingo
é meu segundo dia no duolingo e já aprendi muito inglês,5,2026-04-03 16:28:02,Duolingo
você aprende inglês e muito mais,5,2026-04-03 16:22:59,Duolingo
Tóquio aprendendo muito com o domingo,4,2026-04-03 16:21:10,Duolingo
excelente é pouco,5,2026-04-03 16:20:22,Duolingo
"me ajuda muito, eu consigo me comunicar com pessoas de outros países.Eu adorei o dou,e no passado eu tinha medo de esquecer de fazer as lições e ele me sequestrar mas é todo mentira ksksksksks 5 estrelas merci, je donne",5,2026-04-03 16:18:13,Duolingo
ele é incrível ❤️💯,5,2026-04-03 16:16:26,Duolingo
Excelente.,5,2026-04-03 16:15:39,Duolingo
eu aprendi repido e facil,5,2026-04-03 16:09:35,Duolingo
"MARAVILHOSO, TE AMO DUO! ★ acho o app muito bom, além disso sigo ele em todas as plataformas digitais, amo tú duo! Acho q a única coisa que poderia ""melhorar"" é que a vídeo chamada com a Lily é no Max, acho q poderia ser no grats, aço também, que n deveria ter bateria pra estudar, por que se vamos estudar, n deveria ter, n faz sentido algum ter um limite pra estudar...mas tá, isso n me impede de amar o app. Muito bom, porém...MELHOREM!",5,2026-04-03 16:06:43,Duolingo
É o maior aplicativo de língua estrangeira que já vi. Não precisa sair de casa para ter uma ferramenta como essa. Vou indicar para meus amigos.,5,2026-04-03 16:04:59,Duolingo
muito bom parabéns pelo app,5,2026-04-03 16:04:30,Duolingo
"mto bom, sou ruim em matematica e ele pode me ajudar, e me ajudar a jogar xadrez que eu num sei joga aí é bão de mai sô!",5,2026-04-03 15:57:57,Duolingo
estou aprendendo várias palavras em japonês muito obrigado,5,2026-04-03 15:54:18,Duolingo
está sendo uma experiência interessante,5,2026-04-03 15:52:46,Duolingo
excelente app por ser gratuito,5,2026-04-03 15:52:00,Duolingo
amei aprendi muito o espanhol e muito legal e me desenvolvi muito bem amei amei amei amei amei amei muito aprendi espanhol inglês e alemão muito legal 😎 ☺️,5,2026-04-03 15:51:32,Duolingo
Muinto bom é ensina muinto,5,2026-04-03 15:49:27,Duolingo
muito educativo,5,2026-04-03 15:49:15,Duolingo
amei,5,2026-04-03 15:49:03,Duolingo
eu amo aprender xadrez virou um hábito,5,2026-04-03 15:45:20,Duolingo
ótimo!,5,2026-04-03 15:44:54,Duolingo
gosteis muito,4,2026-04-03 15:44:34,Duolingo
É um APP incrível para aprender em só 3 dias já sei coreano!!,5,2026-04-03 15:38:38,Duolingo
muito bom aprendi muita coisa,4,2026-04-03 15:38:18,Duolingo
"Duolingo ruim. Toda vez me pergunta se quero recarregar a energia, não dá nem pra 3 missões direito, na 4 já acaba as energias, e aí tem que pagar 450 cristais pra recarregar só 25 energias que é o máximo, eu não vou gastar a toa pra um troço desse não. Seria bom se tivesse como marcar com todo mundo e ficar 1 mês sem usar o Duolingo ou mais pros Criadores do Duolingo pararem de ser besta, cansei disso toda hora isso.",1,2026-04-03 15:38:04,Duolingo
aprendi muito com o doulingo,5,2026-04-03 15:35:57,Duolingo
"Amo esse aplicativo, posso aprender vários idiomas ao mesmo tempo e de uma maneira muito fácil e divertida.",5,2026-04-03 15:32:25,Duolingo
