texto,nota,data,app,sentimento,tamanho,palavras,ano_mes
"O App não ensina idiomas , ele ensinar outros tipos de cursos tipo medicina e variedades de cursos etc , só não ensina idiomas , eu procurei curso de idiomas não achei nenhum idioma",1,2020-06-14 06:20:49,Khan Academy,Negativo,181,34,2020-06
"Não resolveu um cálculo que eu pedi, decepcionada",1,2024-09-02 01:13:26,Photomath,Negativo,49,8,2024-09
horrível não instale. só aprendi o básico é tem uns 10 bugs,1,2026-04-04 22:05:48,Duolingo,Negativo,59,12,2026-04
fica desconectando meu usuário o tempo todo,2,2025-04-11 09:28:20,Udemy,Negativo,43,7,2025-04
não estou conseguindo logar a minha conta,1,2024-05-14 15:36:14,Google Classroom,Negativo,41,7,2024-05
Por que não que inviar as minhas tarefas,1,2022-09-16 11:24:04,Google Classroom,Negativo,40,8,2022-09
Já tentei de inúmeras formas cancelar..e não consigo nenhum tipo de retorno..já mandei email...já entrei e segui os passos no app...e simplesmente não.cancelam..QUEROOOO CANCELAR,1,2025-03-15 18:17:12,Babbel,Negativo,178,24,2025-03
Orrivel e de difícil acesso,1,2023-07-05 20:13:38,Udemy,Negativo,27,5,2023-07
te odeio Khan,1,2024-08-27 13:35:52,Khan Academy,Negativo,13,3,2024-08
ah pq nao?,1,2019-06-13 00:11:20,Khan Academy,Negativo,10,3,2019-06
"a plataforma é ótima, mas o aplicativo para Android está péssimo, ao transmitir para tv fica a tela preta e só o áudio. observação só fica tela preta nos vídeos pagos os de amostra abre normalmente.",1,2025-12-02 01:38:19,Udemy,Negativo,198,36,2025-12
Muito ruim esses quizz,1,2024-06-13 10:02:05,Google Classroom,Negativo,22,4,2024-06
"Muito ruim agente e obrigado a fazer perdemos nosso,tempo e ainda somos pressionados a fazer e nao podemos dar nossa opinião se nao fala que ta errado e agente perde nota se não fazer",1,2024-06-16 14:00:14,Google Classroom,Negativo,183,34,2024-06
As vezes nega de funcionar porque,1,2024-09-09 15:24:13,Photomath,Negativo,33,6,2024-09
"Muito bugado, faz vc repetir a mesma lição mil vezes",1,2026-04-02 23:17:41,Duolingo,Negativo,52,10,2026-04
"Estou decepcionado com essa nova atualização, agora para ter uma explicação passo a passo precisa pagar, antes o app era muito útil.",1,2024-03-02 00:41:28,Photomath,Negativo,132,22,2024-03
"Um lixo, não consigo nem me cadastrar no aplicativo usando o Facebook ou usando o Google que fica no login infinito, vou pra Hotmart",1,2024-07-21 20:13:04,Udemy,Negativo,132,24,2024-07
Ñ gostei 😐,1,2023-03-27 20:26:27,Google Classroom,Negativo,10,3,2023-03
Não aceita editar os trabalhos nem salvar para devolução. Problema urgente!,1,2023-07-09 21:17:27,Google Classroom,Negativo,75,11,2023-07
Os exercícios e tema das aulas são bem bolos. Não agrega muito.,1,2023-03-20 19:31:55,Babbel,Negativo,63,12,2023-03
Só baixei isso pq minha professora me obrigou,1,2020-02-12 20:51:40,Khan Academy,Negativo,45,8,2020-02
chato por usuários,2,2025-10-08 17:02:54,Quizlet,Negativo,18,3,2025-10
Problemas de sincronização entre o app e o site.,2,2025-07-12 21:53:10,Quizlet,Negativo,48,9,2025-07
"Eu já tive acesso ao Khan Academy em inglês e tinha muito mais opções de cursos. Para alguém que fala outros idiomas, o meu caso, seria fascinante praticar também em outras línguas, mas, não há esta possibilidade. Outras ferramentas EAD tem streaming para Chromecast. Os vídeos que eu acessei não consegui enxergar no meu smartphone, e isto me frustrou pois é difícil replicar as fórmulas matemáticas do curso que escolhi. A organização dos cursos no app é muito melhor do que ver vídeos da Khan no canal do YouTube para eu me controlar e avançar, por isto, sem o streaming para Chromecast, prefiro usar um Coursera ou similar que me dê esta possibilidade.",2,2018-11-07 15:13:45,Khan Academy,Negativo,656,113,2018-11
O pior desse app é q n consegui entrar com minha conta como pode isso!?!,1,2023-02-21 00:11:38,Google Classroom,Negativo,72,15,2023-02
Você só consegue usar se fizer assinatura cado contrário o aplicativo não deixa avançar,1,2024-12-21 20:24:35,Babbel,Negativo,87,14,2024-12
Muito bom,2,2024-02-22 20:53:49,Photomath,Negativo,9,2,2024-02
"lixo de aplicativo, me causou traumas",1,2024-05-23 14:12:43,Google Classroom,Negativo,37,6,2024-05
péssimo totalmente péssimo,1,2025-09-28 12:30:22,Google Classroom,Negativo,26,3,2025-09
"HORRIVEL, Nāo da pra logar em nenhuma conta",1,2023-03-24 10:39:50,Google Classroom,Negativo,43,8,2023-03
"Não consigo adquirir um plano, quando abro a página de planos, ele joga pra uma página dizendo pra baixar o app, mesmo com o app já baixado",1,2024-12-01 00:18:37,Babbel,Negativo,139,27,2024-12
"não é gratuito. Mas dizem que é, e logo quando se faz o cadastro pedem fazer o pagamento. Falta de seriedade.",2,2026-02-03 14:11:47,Babbel,Negativo,109,21,2026-02
"1, não sei quem foi o desgraçado que inventou de criar uma aplicação escolar obrigatória, e deus queiro que tal pessoa desapareça num beco.",1,2024-04-25 21:37:50,Google Classroom,Negativo,139,24,2024-04
"ta pra nascer um app pior que esse. e eu to falando da funcionalidade pq o layout é ótimo, mas o app simplesmente resolve nao abrir. eu tenho que tirar dos meus apps recentes e TORCER pra ele querer abrir. fora que por mais que as notificações estejam ligadas, eu apenas não recebo nenhuma.",1,2025-10-23 19:26:41,Google Classroom,Negativo,290,54,2025-10
as matérias que vc procura nunca tem,1,2025-06-08 18:22:50,Quizlet,Negativo,36,7,2025-06
não consigo abrir o app pra estudo,1,2026-02-09 19:07:48,Google Classroom,Negativo,34,7,2026-02
Orrivel não gostei,1,2024-11-24 08:57:33,Quizlet,Negativo,18,3,2024-11
não consigo fazer login nem carregar minhas lições horrível,1,2019-08-19 23:26:08,Khan Academy,Negativo,59,9,2019-08
"há meses não consigo mais logar com minha conta de estudante, era prático, mas sem isso se tornou inútil",1,2024-06-17 00:56:48,Google Classroom,Negativo,104,19,2024-06
Horrível,1,2023-11-16 07:50:40,Google Classroom,Negativo,8,1,2023-11
Eu numm gostuumm,1,2023-05-01 19:54:44,Google Classroom,Negativo,16,3,2023-05
HORRIVEL eu tentei escanear e só tava aparecendo q não dava porque parecia errado sendo q eu já tinha tentado várias vezes de vários jeitos não recomendo de jeito nenhum,1,2024-07-11 18:37:54,Photomath,Negativo,169,30,2024-07
Jakakakak app mo ruim tmnc governo,1,2023-03-04 18:28:05,Google Classroom,Negativo,34,6,2023-03
Vírus no clll,1,2023-12-31 11:34:10,Khan Academy,Negativo,13,3,2023-12
Horrível,1,2024-03-20 13:39:55,Google Classroom,Negativo,8,1,2024-03
só trava isso é! ruim mesmo !,2,2025-11-10 12:48:21,Google Classroom,Negativo,29,7,2025-11
"Muito paia, tem lição",1,2024-06-08 20:53:32,Khan Academy,Negativo,21,4,2024-06
Aulas naooooooo,1,2024-03-20 00:03:07,Google Classroom,Negativo,15,2,2024-03
Tento entrar mas nao abre a pagina inicial. Com isso nao consigo abrir as atividades que a professora do meu filho me passou.f,1,2020-03-26 00:12:39,Khan Academy,Negativo,126,23,2020-03
péssimo,1,2023-04-25 15:46:12,Babbel,Negativo,7,1,2023-04
"Horrível! não recebi notificações das tarefas e de avisos importantes!! O aplicativo não deixa você entrar em certos momentos,trava muito!em um nível absurdo!!! Falta modo escuro, acumula tarefas,e nós ficamos perdidos!!!",1,2024-03-19 07:50:53,Google Classroom,Negativo,221,31,2024-03
Comprei um curso. Que dizia oferecer conteúdo em Pdf. Não recebi conteúdo nenhum. O instrutor não responde mensagem. E não oferece reembolso. Vou procurar meus direitos. O suporte. Não funciona.,1,2022-10-09 18:16:41,Udemy,Negativo,194,30,2022-10
"Os cursos são ótimos, mais tem um probleminha ae, não tem a opção ícone de transmissão no canto superior direito do player para reproduzir na minha TV.",2,2023-08-07 15:42:41,Udemy,Negativo,151,27,2023-08
"estou super decepcionado com o aplicativo, parecia ser otimo, mas de qualquer forma, sempre diz que ocorreu algum erro com a internet.",1,2019-08-15 01:53:41,Khan Academy,Negativo,134,22,2019-08
"Está mal otimizado, os vídeos demiram para carregar",1,2022-10-09 15:44:40,Udemy,Negativo,51,8,2022-10
Odeio,1,2020-05-06 16:00:21,Khan Academy,Negativo,5,1,2020-05
"App ruim, diz que é gratuito, mas já aparece no começo uma assinatura. Não dá para fazer nada.",1,2024-03-01 23:58:55,Babbel,Negativo,94,18,2024-03
"Não consigo salvar os arquivos offline, pois diz que preciso a versão mais recente do Google Drive (QUE JÁ ESTÁ BAIXADA). O problema persiste,mesmo com o Google drive atualizado",2,2023-04-12 10:47:51,Google Classroom,Negativo,177,29,2023-04
"O app tá horrível, já foi melhor. Não consigo logar minha conta e por causa disso acabo perdendo atividades. Deplorável, melhorem",1,2024-03-29 22:27:07,Google Classroom,Negativo,129,21,2024-03
pouco interativo e o app é lento ao iniciar algumas atividades,2,2025-03-15 08:13:37,Babbel,Negativo,62,11,2025-03
"eu gosto do app, mas preciso que certas coisas sejam consertadas : no celular, a parte inicial não está abrindo, não está mostrando as pastas , cartões , etc. Acho que é um problema recente de atualização poderia deixar uma opção de editar os cartões enquanto estamos fazendo o exercício. Pois,enquanto estou estudando /jogando com os flashcards, eu acho um erro nas minhas respostas , gostaria de editar diretamente ali, sem ter que sair do cartão, ir na página de Deck de cartões e editar.",2,2025-09-06 20:02:53,Quizlet,Negativo,491,85,2025-09
Comprei 3 cursos. Porem a conta foi desconectada e não consigo entrar mais nela. Ja tentei redefinir a senha mas o email para redefinição nunca chega.,1,2023-01-15 18:39:24,Udemy,Negativo,150,26,2023-01
Eu não consigo adicionar minha conta no app,1,2023-04-03 01:02:22,Google Classroom,Negativo,43,8,2023-04
Chato,1,2024-03-06 16:46:50,Google Classroom,Negativo,5,1,2024-03
Horrível. Nem pra ensinar dirigir isso presta,1,2024-03-29 17:06:57,Khan Academy,Negativo,45,7,2024-03
Está travando sempre que assisto um anúncio. Meu celular é novinho e não trava com nada. Eu amava esse app,1,2026-04-04 15:13:39,Duolingo,Negativo,106,20,2026-04
"O aplicativo esta muito bugado, quando eu tiro a foto para postar algumas somen e tenho q tirar a foto de novo",2,2024-02-25 10:04:00,Google Classroom,Negativo,110,22,2024-02
Muito ruim não funciona corretamente,1,2023-12-08 19:35:13,Google Classroom,Negativo,36,5,2023-12
O email manda notificação mais rápido do que o próprio app e as vezes quando abro ele simplesmente não carrega,1,2025-08-24 11:24:06,Google Classroom,Negativo,110,20,2025-08
Mano eu baixei por causa das aulas online mas nss agr ele simplesmente parou e agr não abre mais,1,2022-09-09 23:27:56,Google Classroom,Negativo,96,19,2022-09
"app faz crashar o bluetooth. Se insistir em tentar usar, android entra em colapso, faz reboot e surge o raro ecrã técnico de texto , com os menus de reposição de fábrica. Excelente. (de resto, todos os outros problemas antigos continuam e não serão resolvidos). Adenda após resposta da Udemy: só é preciso ler a resposta para se perceber a absoluta indiferença que os clientes/estudantes sentem no dia-a-dia com a empresa. QED.",1,2026-03-24 07:32:10,Udemy,Negativo,427,72,2026-03
Não estou conseguindo preencher a senha do aplicativo. O teclado desaparece no momento de digitar. Samsung A53.,2,2023-03-14 18:08:48,Udemy,Negativo,111,17,2023-03
agora esse aplicativo é pago ele era ótimo,1,2026-02-10 18:44:46,Photomath,Negativo,42,8,2026-02
"Lamentavelmente, apareceu para mim um anúncio que induz o usuário a sofrer um golpe com a campanha de 25 anos do Mercado Livre que a própria empresa já se pronunciou alegando ser uma campanha de origem fraudulenta. É importantíssimo que os aplicativos que transmitem esses anúncios façam um filtro rigoroso para proteção dos usuários.",1,2026-04-01 20:17:24,Duolingo,Negativo,334,54,2026-04
"Todos os dias, sem nenhuma exceção ou falta, eu abro este aplicativo Babbel e faço 1 atividade. Vejo o resultado de ""Tarefa concluída"". Aperto para prosseguir e fecho o aplicativo. Até aqui tudo bem. A questão é que diversas vezes no dia seguinte aparece a mensagem que o ""Congelamento"" foi usado para não perder a contagem de dias pois, pelo que vejo, o aplicativo não contabilizou a tarefa do dia anterior. Esse erro é extremamente ridículo. O aplicativo não valida minha tarefa diária.",2,2025-10-09 11:05:31,Babbel,Negativo,488,83,2025-10
Estou com problema o meu aplicativo não quer cadastrar o email. Estava usando normalmente aí deu problema. Já desinstalei e baixei o aplicativo novamente e nada.,2,2023-04-18 12:30:29,Google Classroom,Negativo,161,26,2023-04
"Não consigo fazer login. Usei esse aplicativo desde o ano passado, e um dia ele simplesmente saiu da minha conta e não me deixar logar novamente com a minha conta. Se tivesse a opção 0 estrelas, eu daria, pois não estou conseguindo fazer minhas atividades graças a esse bug.",1,2024-03-20 15:07:56,Google Classroom,Negativo,274,49,2024-03
"Meio ruim, não atualiza logo",2,2025-01-26 03:25:11,Google Classroom,Negativo,28,5,2025-01
Gostei,1,2024-11-28 04:44:05,Photomath,Negativo,6,1,2024-11
"ja foi muito bom, mas para conseguir entrar tenho que desinstalar e instalar o aplicativo, e só entra uma vez.",1,2025-08-23 10:18:31,Google Classroom,Negativo,110,20,2025-08
"já tem um bom tempo que ele não notifica mais nada e pra abrir ele é um sofrimento (abre quando quer) me pergunto o pq disso, o aplicativo funcionava perfeitamente antes",1,2025-10-31 23:17:07,Google Classroom,Negativo,169,31,2025-10
"Não funciona, possuo um Tablet da Samsung, antes funcionava perfeitamente, após múltiplas atualizações parou totalmente de funcionar o App",1,2023-02-19 16:06:18,Udemy,Negativo,138,19,2023-02
"N ta entrando, toda vez que tnto entrar fica falando q parou",1,2023-08-16 19:48:53,Khan Academy,Negativo,60,12,2023-08
Very buggy.. always have to open it twice,1,2025-10-22 15:01:23,Google Classroom,Negativo,41,8,2025-10
Mó ruim slk tem que estuda,1,2023-07-24 05:12:08,Google Classroom,Negativo,26,6,2023-07
"App horrível não abre as aulas , não antes as explicações .... horrível",1,2025-01-22 10:10:25,Babbel,Negativo,71,13,2025-01
"não consigo transmitir para a TV com o botão de cast, sempre trava. aliás, deveriam ter um app para smartv",1,2025-07-13 11:20:28,Udemy,Negativo,106,20,2025-07
não gostei apenas isso,1,2025-04-28 17:54:03,Quizlet,Negativo,22,4,2025-04
Nota Zero,1,2023-08-15 07:47:09,Khan Academy,Negativo,9,2,2023-08
"Não abre de jeito nenhum no meu celular, não entendo.",1,2024-08-18 04:16:58,Google Classroom,Negativo,53,10,2024-08
"baixei o APP e demora muito para abrir e quando abre não roda os vídeos e ou aparece (estamos com problemas tente mais tarde) . eu planejei estudar agora não mais tarde!. Isso precisa melhorar, o tempo para estudar é escasso!",1,2026-02-07 14:07:23,Hotmart Sparkle,Negativo,225,41,2026-02
Ruim demais,1,2025-03-11 18:21:11,Photomath,Negativo,11,2,2025-03
"Muito ruim, só serve pra estudar",1,2023-11-16 20:16:22,Google Classroom,Negativo,32,6,2023-11
"simplesmente não estou conseguindo usar quando eu tiro foto aparece que ""esse problema não foi resolvido""",1,2026-03-06 00:06:06,Photomath,Negativo,105,16,2026-03
"Não está atualizando as turmas, todas desapareceram.",1,2023-04-18 14:33:19,Google Classroom,Negativo,52,7,2023-04
"Incrível amei,mas envolve escola então não gostei",1,2023-02-27 08:48:52,Google Classroom,Negativo,49,7,2023-02
"Não consigo contato com o suporte. preencho o formulário, mas na hora de enviar o botão não funciona.",2,2026-02-28 15:58:24,Hotmart Sparkle,Negativo,101,18,2026-02
Um cu,1,2023-07-03 19:13:35,Google Classroom,Negativo,5,2,2023-07
"Horrivel, nao mostra como fazer conta certo.",1,2024-02-21 14:04:06,Photomath,Negativo,44,7,2024-02
Tá dando muito erro,2,2023-10-15 18:59:38,Google Classroom,Negativo,19,4,2023-10
Ficou muito ruim tem que pagar para resolver isso é muito chato. N gostei.,2,2024-02-26 17:50:23,Photomath,Negativo,74,14,2024-02
É PAGO !!!!!!! ODEIO PAY TO WIN !!!,1,2025-06-25 23:45:59,Babbel,Negativo,35,8,2025-06
"Não gostei, não dá pra estudar direito",2,2024-11-24 20:34:27,Quizlet,Negativo,38,7,2024-11
é caro para um brasileiro que ganha um salário mínimo,1,2025-02-24 11:04:01,Babbel,Negativo,53,10,2025-02
É uma burla,1,2024-05-14 11:03:02,Photomath,Negativo,11,3,2024-05
"O app nao abre, fica congelado na tela inicial",1,2025-08-26 11:07:55,Google Classroom,Negativo,46,9,2025-08
"Só faço duolindo pois já fiz um curso fora ,o duolingo é só para não perder a prática, se você quer estudar ou trabalhar fora o duolingo não é o seu lugar. Ps: li as avaliações mais recentes, e, pois é, tá impossível, já colocam um monte de anúncio que distrai-principalmente quem tem TDAH-e ainda tem que suportar o limite de energia, aí ficou paia. Só dou uma estrela pq ñ tem como dar zero. Ps: as imagens que mostram a plataforma do duolingo quando vc vai baixar ainda estão no sistema de vidas!",1,2026-03-31 21:08:56,Duolingo,Negativo,499,94,2026-03
"não gostei,veio com 9 anos de dor e sofrimento junto com professores chatos e tema, não recomendo",1,2025-05-26 17:28:15,Google Classroom,Negativo,97,17,2025-05
escola,1,2024-04-12 14:14:50,Google Classroom,Negativo,6,1,2024-04
"A proposta é muito boa, no entanto, o app apresenta falhas na reprodução das aulas e não dá pra assistir mesmo com a aula baixada.",2,2026-01-12 09:04:06,Udemy,Negativo,130,25,2026-01
"Péssimo, no modo xadrez toda vez que eu estou prestes a ganhar o jogo trava e sou obrigado a começar de novo só para eu perder a partida, usar o duolingo é quase como fazer um pacto satânico.",1,2026-04-05 12:22:34,Duolingo,Negativo,191,38,2026-04
"é aplicativo de escola né, tudo oq envolve esse assunto me assombra☠️",1,2024-04-05 10:59:28,Google Classroom,Negativo,69,12,2024-04
Não uso com frequência,2,2023-12-06 06:09:01,Google Classroom,Negativo,22,4,2023-12
"não consegui instalar no meu notebook para poder estudar melhor ,pois pelo celular é ruim de estudar.",1,2023-10-12 12:15:11,Google Classroom,Negativo,101,17,2023-10
Novidades knn,2,2024-03-06 11:52:22,Google Classroom,Negativo,13,2,2024-03
Se o app é pago isso tem que estar claro desde o início. Não fazer as pessoas completarem uma fase pra daí expor o preço exorbitante. E respondendo não é por ser pago. É por isso ficar implícito até terminar a primeira fase,1,2024-11-22 16:01:03,Babbel,Negativo,223,43,2024-11
Um lixo de app,1,2024-03-26 13:32:10,Google Classroom,Negativo,14,4,2024-03
Poderia ser um aplicativo desse Respostas certa Vou testar mas se não ⛔,1,2024-05-14 17:21:06,Photomath,Negativo,71,13,2024-05
"Aplicativo muito fraco, você tenta logar mas não vai, clica em qualquer coisa e não carrega.",2,2024-02-20 22:22:29,Udemy,Negativo,92,16,2024-02
"De uns dias para cá o app simplesmente parou de funcionar. Não estou recebendo mais notificações, mesmo desinstalando e instalando de novo (Ja olhei as configurações varias vezes e está tudo habilitado, inclusive sincronização com dados moveis para ficar aberto em segundo plano). Ou seja não estou recebendo mais notificações do app, elas só aparecem depois que abro o app e mesmo assim não chegam na hora, demora horas. A sorte que pelo menos chega a notificação no e-mail.",1,2025-10-16 13:32:23,Google Classroom,Negativo,475,79,2025-10
"Nada a comentar, só não recomendo, é um aplicativo completamente focado em dar dinheiro aos criadores",1,2024-03-10 23:33:09,Photomath,Negativo,101,16,2024-03
"Funcionou um bom tempo, agora o APP não carrega mais as video aulas, testei em 2 aparelhos diferentes.",1,2025-12-09 09:41:12,Udemy,Negativo,102,18,2025-12
"O aplicativo é bom, porém apresenta bugs, eu não consigo fazer as tarefas usando os dados móveis, eu uso por conta da internet lenta da escola",1,2023-08-09 14:54:20,Google Classroom,Negativo,142,26,2023-08
Não achei nenhuma sala disponível achei muito prega,2,2024-06-16 09:42:22,Google Classroom,Negativo,51,8,2024-06
Lixo,1,2024-11-19 09:32:28,Google Classroom,Negativo,4,1,2024-11
"App lixo, so existe para irritar os alunos, as atividades são um lixo porque vc coloca a resposta certa e no final ele conta que está errado, fora que as escolas estão disponibilizando essa plataforma lixo",1,2024-05-08 11:11:24,Khan Academy,Negativo,205,36,2024-05
"O aplicativo era muito bom antigamente, explicação passo a passo perfeita! Era fácil de resolver dúvidas. Mas agora, o app só piorou. Agora, não tem como ver a explicação passo a passo inteira sem pagar o Premium, muitas coisas foram retiradas da forma gratuita.",2,2024-03-07 18:22:08,Photomath,Negativo,262,44,2024-03
sou o mais recente (dei 1 estrela pq não gostava de aula online),1,2025-03-27 13:58:56,Google Classroom,Negativo,64,13,2025-03
"Comprei um curso, o curso era só enrolação, pedi meu reembolso, o dinheiro não veio pra minha conta, ficou como crédito, comprei outro curso do mesmo valor, mas veio uma nova fatura e não descontou o dinheiro do reembolso. Se não serve pra pagar um novo curso então pra quê. Devolva meu dinheiro.",1,2023-08-28 18:33:41,Udemy,Negativo,296,53,2023-08
"Não explica direito. Usar esse aplicativo é a mesma coisa que nada, porque ele não explica nem de uma forma básica, pula todas as etapas e bota logo no resultado, aí não dá pra entender como faz o cálculo, tá horrível esse aplicativo, e tudo fica pedindo dinheiro, e qualquer mínima mudança na internet já fica horrível e não dá pra usar. É melhor ver uma vídeo aula.",1,2025-12-01 00:48:17,Photomath,Negativo,367,68,2025-12
"Odiei a nova atualização, invés desse aplicativo querer ajuda a fazer os problemas matemáticos, ele é ganhar dinheiro. Eu queria aprender como faz expressões algébricas, mas não consigo por causa do plus. Eu precisava de ajuda pois tenho prova amanhã.",1,2024-03-21 19:42:37,Photomath,Negativo,251,40,2024-03
recursos limitados em meus negócios,1,2026-03-17 00:59:18,Hotmart Sparkle,Negativo,35,5,2026-03
"Odiei. Os quiz não tem imagem e nem texto, como q eu vou responder a relação do texto 1 e 2 sem o texto?? fora q tem uma parte q tem q decorar o cartão?? Tinha perguntas q era só uma explicação e nenhuma pergunta(???) ou era um texto literalmente assim: Atropologia é.... responda: A) Antropologia B) Cidadania C) ..... D).... . Antes mesmo de ver as perguntas, as respostas estão todas embaixo (???)",1,2024-11-02 22:14:23,Quizlet,Negativo,400,74,2024-11
"O app é horrivel, diversas vezes tive problema com o player de video.",2,2022-12-01 11:49:02,Udemy,Negativo,69,13,2022-12
"Recebo as tarefas dos professores neste aplicativo e ele está terrível , a minha conta desloga sozinha, e quando tento reconecta-lá ela não entra de jeito nenhum, arrumem por favor",1,2024-03-28 12:21:25,Google Classroom,Negativo,180,30,2024-03
Dizia que tinha curso gratis nesse App. #MENTIRA..... nao tem nada #2. TUDO - PAGO voce tem de comprar os cursos.,1,2025-01-22 00:18:40,Udemy,Negativo,113,21,2025-01
"N quero inglés, quero espanhol e o app.quer me ensinar inglés. N tem opção p mudar. Inglés eu falo. Q chato",1,2023-05-04 14:08:41,Babbel,Negativo,107,21,2023-05
"O app não está funcionando corretamente, não consigo anexar PDF depois dessa atualização",1,2024-08-10 19:14:07,Google Classroom,Negativo,88,13,2024-08
eu gostava antes mais agora o negócio precisa pagar o plus pra ver a conta inteira eu to bravo demais to decepixionada NINGUÉM BAIXA E NEMM COMPRA O PLUS é horrivel vale menos de uma estrela so volto a usar quando esse plus sair ai sim vai ser um app de respeito mais por enquanto eu odiei,1,2024-04-18 19:25:22,Photomath,Negativo,289,57,2024-04
Horrivel so tiro nota baixa,1,2023-04-02 10:23:55,Google Classroom,Negativo,27,5,2023-04
"Pra mim nem 1 estrela merece,pq eu ODEIO estudar,o aplicativo é bom,mais eu n gosto de estudar,entao pra mim é inútil 😘",1,2023-04-02 18:32:31,Google Classroom,Negativo,119,22,2023-04
"Antigamente eu tinha dado 5 estrelas, mas infelizmente agora pra ver o passo a passo tem que pagar, e caro. Era melhor se vcs tivessem colocado inúmeras propagandas no app, mas que mantivesse o passo a passo gratuito.",1,2024-03-24 16:51:53,Photomath,Negativo,217,38,2024-03
Boa madrugada o App poderia ser melhor se tivesse todos os idiomas aqui mostram só o básico é usar esse App é muito complexo eu me perco muito ás imagensbilustrativas não igual o que há no App tá diferente. os áudios tão igual um raio de rápido é o App é pago para destravar mais lições é propaganda enganosa no play store diz que é grátis no App me cobram deveria ser de graça ás lições nem todo mundo têm dinheiro para pagar. Quero p #feedback🤬🤬🤬🤬🤬,1,2023-12-08 02:01:04,Babbel,Negativo,450,86,2023-12
"Estou tendo alguns problemas com o app referente a conta Google que desejo logar!! O app era ótimo, porém esses problemas está um pouco estressante.",1,2024-03-29 13:22:15,Google Classroom,Negativo,148,25,2024-03
Não estou gostando do curso,1,2024-02-06 08:27:26,Udemy,Negativo,27,5,2024-02
Muito ruim!,1,2025-01-28 19:32:03,Google Classroom,Negativo,11,2,2025-01
Memorias... horríveis disso aq,1,2023-05-09 15:14:37,Google Classroom,Negativo,30,4,2023-05
"tá travando, e agora não está nem abrindo o app",1,2025-10-21 09:41:07,Google Classroom,Negativo,47,10,2025-10
muito ruim o sistema de baterias,1,2026-04-03 15:28:43,Duolingo,Negativo,32,6,2026-04
O app não funciona em tablet,1,2023-10-05 11:00:24,Babbel,Negativo,28,6,2023-10
"Que aplicativo horrível. Sinceramente, as pessoas usam isso para saberem como fazer contas que elas não sabem, aí vocês vai lá e colocam todas as opções como Premium assim obrigando ela a ter que pagar para ver a solução, se eu pudesse, dava 0 estrelas pela total imbecilidade da parte de vocês.",1,2024-02-09 10:37:43,Photomath,Negativo,295,52,2024-02
"O aplicativo ainda não tem um player muito bom nem o captador de aulas, n vale muito a pena",1,2023-03-14 09:49:16,Udemy,Negativo,91,19,2023-03
"Tem que pagar pra usar esse aplicativo, pensei que era de graça",2,2023-02-07 00:22:47,Babbel,Negativo,63,12,2023-02
"Na minha opinião é péssimo para aprender, os vídeos são muitos entendimento, tinha que ter uns vídeos melhores e lições explicando como fazer e depois fazer sem ajuda😔😔😔",1,2023-09-19 15:22:41,Khan Academy,Negativo,169,28,2023-09
Está a dar erro na app e não se consegue atualizar num samsung s21. Impossível de utilizar a app.,1,2024-04-15 20:15:01,Google Classroom,Negativo,97,19,2024-04
Lixo,1,2025-02-27 11:10:10,Google Classroom,Negativo,4,1,2025-02
"Já tenho o aplicativo algum tempo. Porém, de uns tempo para cá não consigo acessar a plataforma, mesmo colocando meu e-mail redefinindo senha não chega nada no meu e-mail para atualizar nova senha ajuda aí fazendo favor, quero assinar algum curso..",2,2023-04-06 09:27:56,Udemy,Negativo,248,41,2023-04
O problema é que tem muitas limitações,1,2024-05-20 16:29:50,Photomath,Negativo,38,7,2024-05
"app não abre. Dão uma senha que não entra. Eu tento uma vez por ano, não entra, ignoro a existência do aplicativo.",1,2026-02-08 13:03:42,Babbel,Negativo,114,22,2026-02
"Não estou conseguindo acessar minha sala de aula, o app diz que está conectado ao email porém não abre as aulas",1,2024-04-29 21:59:11,Google Classroom,Negativo,111,21,2024-04
"Não consigo mais trocar de conta para fazer minhas atividades, simplesmente impossível de de quer ver minhas atividades",1,2024-04-19 09:48:21,Google Classroom,Negativo,119,18,2024-04
Horrível,1,2023-04-24 16:09:08,Google Classroom,Negativo,8,1,2023-04
Sendo sincero. Eu não gostei👎pois tem que comprar a versão premium com essa versão premium não dá cara. não dá,1,2024-08-31 22:06:04,Photomath,Negativo,110,20,2024-08
"O a plicativo esta abandonado, apresenta vários erros, apagando todo o progresso dos estudantes e as atividades",1,2024-03-12 17:59:07,Khan Academy,Negativo,111,17,2024-03
mto ruim,1,2023-03-01 13:21:58,Google Classroom,Negativo,8,2,2023-03
"Suporte difícil e 2 anuncios para mesmo produto, mas na hora de pagar cobram o mais caro. Nao sei se devo confiar. Aguardo resposta - 1a OPCAO ""Assinatura anual por R$ 286,80 (pago antecipadamente) Isto equivale a R$ 23,90 por mês! Com o pacote Babbel Total, você já economiza a partir do segundo idioma"" - 2a OPCAO ""Google Play +Babbel All Languages 12 months Babbel - Learn Languages A partir de hoje R$ 329,90/ano Ver tributos incluídos Cancele a qualquer momento em ""Assinaturas"" no Google Play""",1,2025-03-09 18:33:28,Babbel,Negativo,499,86,2025-03
Péssima otimização Demora muito para entrar no app,1,2023-08-31 19:11:29,Khan Academy,Negativo,50,8,2023-08
N gosto,1,2022-10-08 16:12:19,Google Classroom,Negativo,7,2,2022-10
horrivel,1,2025-10-02 21:01:17,Google Classroom,Negativo,8,1,2025-10
