texto,nota,data,app,sentimento,texto_preprocessado,texto_stemmed,texto_lemmatized
tenho as aulas baixadas e não consigo assisti-las pois o vídeo não carrega. não adianta desligar o wifi. não adianta reabrir o app. não adianta apagar o vídeo e baixar de novo. não adianta apagar o vídeo e assistir normalmente pelo Wi-Fi. um aplicativo cujo principal serviço são os cursos em video oferecidos falha em prestar esse serviço. por isso minha nota é 1,1,2024-12-31 13:26:42,Udemy,Negativo,tenho as aulas baixadas e não consigo assistilas pois o vídeo não carrega não adianta desligar o wifi não adianta reabrir o app não adianta apagar o vídeo e baixar de novo não adianta apagar o vídeo e assistir normalmente pelo wifi um aplicativo cujo principal serviço são os cursos em video oferecidos falha em prestar esse serviço por isso minha nota é,aul baix consig assistil poi víde carreg adiant deslig wif adiant reabr app adiant apag víde baix nov adiant apag víde assist norm wif aplic cuj princip serviç curs vide oferec falh prest serviç not,aula baixar consigo assistila vídeo carregar adiantar desligar wifi adiantar reabrir app adiantar apagar vídeo baixar adiantar apagar vídeo assistir normalmente wifi aplicativo principal serviço curso video oferecer falha prestar serviço nota
"O aplicativo está PÉSSIMO! Houve uma atualização e desde que o meu aplicativo foi atualizado, ele não funciona normalmente. O aplicativo em si é ótimo, e sempre teve bom desempenho mas agora, ele CUSTA abrir, não recebo mais notificações do aplicativo, só no email, a gente vai fazer o upload de um arquivo pra enviar e ele volta pro início, fora a lentidão. Várias pessoas ao meu redor também estão reclamando, por favor, concertem isso.",2,2025-06-27 12:52:43,Google Classroom,Negativo,o aplicativo está péssimo houve uma atualização e desde que o meu aplicativo foi atualizado ele não funciona normalmente o aplicativo em si é ótimo e sempre teve bom desempenho mas agora ele custa abrir não recebo mais notificações do aplicativo só no email a gente vai fazer o upload de um arquivo pra enviar e ele volta pro início fora a lentidão várias pessoas ao meu redor também estão reclamando por favor concertem isso,aplic péss atual desd aplic atual func norm aplic ótim sempr bom desempenh agor cust abr receb notific aplic email gent vai faz upload arqu pra envi volt pro iníci lent vár pesso redor reclam favor concert,aplicativo péssimo haver atualização aplicativo atualizar funcionar normalmente aplicativo bom desempenho abrir receber notificação aplicativo email gente upload arquivo pra enviar voltar pro início lentidão várias pessoa redor reclamar concertem
"Na verdade isso não merecia nenhuma estrela, você já foi melhor Duolingo. eu não sei o porquê de tirar o coração de vida e por bateria, desse jeito ninguém vai aprender nada",1,2026-04-03 16:35:41,Duolingo,Negativo,na verdade isso não merecia nenhuma estrela você já foi melhor duolingo eu não sei o porquê de tirar o coração de vida e por bateria desse jeito ninguém vai aprender nada,verdad merec nenhum estrel melhor duoling sei porqu tir coraçã vid bat dess jeit ninguém vai aprend nad,verdade merecer estrela bom duolingo tirar coração vida bateria jeito ninguém aprender
Não estou conseguindo assistir as aulas devido aos bugs que vem acontecendo desde que atualizei o app. 😢,2,2022-07-04 10:12:57,Udemy,Negativo,não estou conseguindo assistir as aulas devido aos bugs que vem acontecendo desde que atualizei o app 😢,consegu assist aul dev bug vem acontec desd atualiz app,conseguir assistir aula devido bugs acontecer atualizei app
Pouco funcional,1,2023-03-06 21:50:57,Babbel,Negativo,pouco funcional,pouc func,funcional
virou pago ficou paia😟,2,2025-04-17 16:27:37,Photomath,Negativo,virou pago ficou paia😟,vir pag fic paia😟,virar pago ficar paia
"estou decepcionada com o aplicativo , pois já reiniciou umas três vezes e zerou os meus pontos de energia ,muitas das lições eu fiz e deu como não feita para a minha professora e entreguei no tempo dado a Professora, o site dá respostas erradas , muitas das vezes não contava as lições que eu fazia mesmo fazendo cinco vezes o mesmo módulo , isso fez com que a minha nota fosse baixa na hora da minha professora fechar a média. Fico ao aguardo de uma resposta do que eu posso fazer em relação.",2,2019-06-19 00:59:30,Khan Academy,Negativo,estou decepcionada com o aplicativo pois já reiniciou umas três vezes e zerou os meus pontos de energia muitas das lições eu fiz e deu como não feita para a minha professora e entreguei no tempo dado a professora o site dá respostas erradas muitas das vezes não contava as lições que eu fazia mesmo fazendo cinco vezes o mesmo módulo isso fez com que a minha nota fosse baixa na hora da minha professora fechar a média fico ao aguardo de uma resposta do que eu posso fazer em relação,decepcion aplic poi reinici uma trê vez zer pont energ muit liç fiz deu feit profes entreg temp dad profes sit respost err muit vez cont liç faz faz cinc vez módul fez not baix hor profes fech méd fic aguard respost poss faz relaç,decepcionar aplicativo reiniciar zerar energia muito lição fiz dar fazer professora entreguei dar professora site resposta erradas muito contar lição fazer módulo nota ser baixar hora professora fechar média fico aguardo resposta
como assim tem q estudar? uma estrela👎👎,1,2025-05-28 23:00:08,Google Classroom,Negativo,como assim tem q estudar uma estrela👎👎,assim estud estrela👎👎,estudar estrela
"Nem erabpra existir , mais trabalho pra min aluno hihi",1,2022-11-21 07:31:11,Google Classroom,Negativo,nem erabpra existir mais trabalho pra min aluno hihi,erabpr exist trabalh pra min alun hih,erabpra existir trabalho pra min aluno hihi
"Na descrição e ao entrar no aplicativo, falam que podemos aprender qualquer coisa, mas baixei e fiz uma busca simples sobre Teoria Classica da Administração e não puxou qualquer resultado. Deveriam alterar essa informação, pois acaba sendo uma propaganda enganosa.",1,2020-02-16 20:31:04,Khan Academy,Negativo,na descrição e ao entrar no aplicativo falam que podemos aprender qualquer coisa mas baixei e fiz uma busca simples sobre teoria classica da administração e não puxou qualquer resultado deveriam alterar essa informação pois acaba sendo uma propaganda enganosa,descr entr aplic fal pod aprend qualqu cois baix fiz busc simpl sobr teor class administr pux qualqu result dev alter inform poi acab send propagand engan,descrição entrar aplicativo falar poder aprender baixei fiz busca simples teorio classico administração puxar resultado dever alterar informação acabar ser propaganda enganoso
não quero saber nada disso mas não sei,1,2025-08-29 09:57:10,Google Classroom,Negativo,não quero saber nada disso mas não sei,quer sab nad diss sei,
"Jogo horrível, pior RPG do mundo, alé que nem é ""RP"" é só um jogo idiota, igual os outros, não ajudou em nada, NADA!, só piorou o vírus, aí depois dessa criação veio as máscara, depois das máscara veio morte, depois das morte nós tivemos que nós se separar, sorte que hoje em dia o vírus não é tão.... Horrível assim, mesmo assim não baixem!!! Tem trojan",1,2024-11-15 22:56:11,Google Classroom,Negativo,jogo horrível pior rpg do mundo alé que nem é rp é só um jogo idiota igual os outros não ajudou em nada nada só piorou o vírus aí depois dessa criação veio as máscara depois das máscara veio morte depois das morte nós tivemos que nós se separar sorte que hoje em dia o vírus não é tão horrível assim mesmo assim não baixem tem trojan,jog horr pi rpg mund alé jog idiot igual outr ajud nad nad pior víru dess cri vei másc másc vei mort mort separ sort hoj dia víru tão horr assim assim baix trojan,jogo horrível mau rpg mundo alé jogo idiota igual ajudar piorar vírus criação vir máscar máscara vir morte morte separar sorte hoje dia vírus horrível baixem trojan
"Sempre que a resposta sao 2 palavra, dá erro, mesmo colocando a resposta exata.",1,2025-10-27 04:46:22,Babbel,Negativo,sempre que a resposta sao palavra dá erro mesmo colocando a resposta exata,sempr respost sao palavr err coloc respost exat,resposta sao palavra erro colocar resposta exato
"Assim que baixei o aplicativo ele funcionava normal, de um dia para o outro não entrava mais ao clicar nas atividades, acabei de atualizar para a nova versão e continua não funcionando, mesmo após limpar o cache.",2,2023-10-18 09:27:40,Babbel,Negativo,assim que baixei o aplicativo ele funcionava normal de um dia para o outro não entrava mais ao clicar nas atividades acabei de atualizar para a nova versão e continua não funcionando mesmo após limpar o cache,assim baix aplic funcion norm dia outr entr clic ativ acab atual nov vers continu funcion após limp cach,baixeir aplicativo funcionar normal dia outro entravar clicar atividade acabar atualizar versão continuar funcionar limpar Cache
me deu vírus 🙄,1,2026-04-05 10:14:52,Duolingo,Negativo,me deu vírus 🙄,deu víru,dar vírus
"Embora o aplicativo seja sensacional, é um desparat ter que pagar por conteúdo educacional e caro, em forma de licença anual ou mensal. Eu pagaria por uma licença vitalícia. D ssa forma não vale a pena e é uma decepção para mim.",1,2025-02-24 06:39:55,Photomath,Negativo,embora o aplicativo seja sensacional é um desparat ter que pagar por conteúdo educacional e caro em forma de licença anual ou mensal eu pagaria por uma licença vitalícia d ssa forma não vale a pena e é uma decepção para mim,emb aplic sensac desparat ter pag conteúd educac car form licenç anual mens pag licenç vitalíc ssa form val pen decepç mim,aplicativo ser sensacional desparat pagar conteúdo educacional caro licença anual mensal pagar licença vitalício ssa valer pena decepção eu
Não existe uma opção para aumentar o tamanho das legendas no app. Do que adianta ter um tablet com tela grande se as legendas são minúsculas?,1,2022-12-27 14:53:22,Udemy,Negativo,não existe uma opção para aumentar o tamanho das legendas no app do que adianta ter um tablet com tela grande se as legendas são minúsculas,exist opç aument tamanh legend app adiant ter tablet tel grand legend minúscul,existir opção aumentar tamanho legenda app adiantar tablet tela legenda minúscula
"Não consigo entra no app ,quando vou fazer o login volta para o início.",1,2023-03-22 08:19:52,Udemy,Negativo,não consigo entra no app quando vou fazer o login volta para o início,consig entr app vou faz login volt iníci,consigo entrar app ir login voltar início
"Esse negócio de pagar para usar, uma opção que antes era completamente gratuita, é para fazer a pessoa desistir de vez de usar o app e desistir de estudar, e é por esse motivo que estarei desinstalando.",2,2025-02-12 12:30:35,Quizlet,Negativo,esse negócio de pagar para usar uma opção que antes era completamente gratuita é para fazer a pessoa desistir de vez de usar o app e desistir de estudar e é por esse motivo que estarei desinstalando,negóci pag us opç ant complet gratuit faz pesso desist vez us app desist estud motiv est desinstal,negócio pagar opção completamente gratuito pessoa desistir app desistir estudar motivo estarar desinstalar
Simplesmente não dá pra usar esse aplicativo,1,2020-04-29 17:46:59,Khan Academy,Negativo,simplesmente não dá pra usar esse aplicativo,simples pra us aplic,simplesmente pra aplicativo
"Your app is very bad, you just want to make money, but the bad thing is that it doesn't help you study, I don't trust it, it's one of the bad ones",1,2025-03-14 10:36:24,Quizlet,Negativo,your app is very bad you just want to make money but the bad thing is that it doesnt help you study i dont trust it its one of the bad ones,your app very bad you just want mak money but the bad thing that doesnt help you study dont trust it one the bad one,Your app very bad you Just Want Make Money but the bad thing that doesnt help you study dont trust its one the bad one
"Negativar pra vocês arrumarem o app, quando vai fazer upload de imagens da erro muitas vezes antes de dar certo",1,2022-09-06 21:02:12,Google Classroom,Negativo,negativar pra vocês arrumarem o app quando vai fazer upload de imagens da erro muitas vezes antes de dar certo,negativ pra arrum app vai faz upload imag err muit vez ant dar cert,negativar pra arrumar app upload imagem erro muitas certo
"Está com um bug. Minha conta foi deslogada, quando tento clicar nela pra entrar na minha turma, volta só início e não entra, como vou acessar agora?!",1,2024-05-12 23:46:37,Google Classroom,Negativo,está com um bug minha conta foi deslogada quando tento clicar nela pra entrar na minha turma volta só início e não entra como vou acessar agora,bug cont deslog tent clic nel pra entr turm volt iníci entr vou acess agor,bug conta deslogar tentar clicar em ela pra entrar turma voltar início entrar ir acessar
"Não gostei muito do app, para mim as aulas são chatas, e não tem tipo ... 4 perguntas vai te 7 para cima! Passo muito tempo no app, não entendo nada das aulas passo pelo o - umas 2 hrs!",2,2021-08-12 15:49:04,Khan Academy,Negativo,não gostei muito do app para mim as aulas são chatas e não tem tipo perguntas vai te para cima passo muito tempo no app não entendo nada das aulas passo pelo o umas hrs,gost app mim aul chat tip pergunt vai cim pass temp app ent nad aul pass uma hr,gostar app eu aula chato pergunta passo app enter aula passo hrs
"não consigo ter acesso ao meu certificado. aparece que tenho apenas 89% das aulas concluídas, porém tudo que aparece pra mim já está marcado como concluída e eu já revirei o app e não achei mais nada que eu não tenha assistido até o final.. tentei entrar em contato com a plataforma mas não resolveu pois não consigo falar com atendente apenas mensagens automáticas. não acredito q vou ficar sem o meu certificado!!!",1,2026-02-28 14:25:49,Hotmart Sparkle,Negativo,não consigo ter acesso ao meu certificado aparece que tenho apenas das aulas concluídas porém tudo que aparece pra mim já está marcado como concluída e eu já revirei o app e não achei mais nada que eu não tenha assistido até o final tentei entrar em contato com a plataforma mas não resolveu pois não consigo falar com atendente apenas mensagens automáticas não acredito q vou ficar sem o meu certificado,consig ter acess certific aparec apen aul conclu porém tud aparec pra mim marc conclu rev app ach nad assist final tent entr contat plataform resolv poi consig fal atend apen mens automá acredit vou fic certific,consigir acesso certificado aparecer aula concluído aparecer pra eu marcado concluir revirar app achar ter assistir entrar contato plataforma resolver consigir falar atendente mensagem automático acreditar ir ficar certificado
SIMPLESMENTE HORRÍVEL,1,2025-07-09 13:50:16,Khan Academy,Negativo,simplesmente horrível,simples horr,simplesmente horrível
"Pode ser até um app do Papa Francisco... não dá pra pagar antes de testar, nem mesmo ser obrigado a colocar o cartão de crédito para iniciar o teste, sinceramente... RIDÍCULO!!",1,2024-11-05 08:49:29,Babbel,Negativo,pode ser até um app do papa francisco não dá pra pagar antes de testar nem mesmo ser obrigado a colocar o cartão de crédito para iniciar o teste sinceramente ridículo,pod app pap francisc pra pag ant test obrig coloc cart crédit inici test sinc ridícul,app papa Francisco pra pagar testar colocar cartão crédito teste sinceramente ridículo
horrível,1,2024-12-01 12:38:10,Quizlet,Negativo,horrível,horr,horrível
Paia,1,2024-04-30 17:11:21,Google Classroom,Negativo,paia,pai,paia
Ridículo de tão podre,1,2023-02-17 01:16:19,Google Classroom,Negativo,ridículo de tão podre,ridícul tão podr,ridículo podre
"Estou fazendo cadastro pela segunda vez, é minha primeira vez usando a udemy, e ele não me dá o desconto de conta nova, fiz duas contas e os dois deram o mesmo erro, tanto pelo site quanto pelo celular. Eu literalmente fiz um email novo atoa",1,2023-08-02 14:19:29,Udemy,Negativo,estou fazendo cadastro pela segunda vez é minha primeira vez usando a udemy e ele não me dá o desconto de conta nova fiz duas contas e os dois deram o mesmo erro tanto pelo site quanto pelo celular eu literalmente fiz um email novo atoa,faz cadastr segund vez prim vez us udemy descont cont nov fiz dua cont doi der err tant sit quant celul liter fiz email nov ato,fazer cadastro usar udemy desconto conta fiz conta dar erro site celular literalmente fiz email atoa
Não da pra inserir a senha na hora de fazer login,1,2023-03-22 22:47:48,Udemy,Negativo,não da pra inserir a senha na hora de fazer login,pra inser senh hor faz login,pra inserir senha hora login
Governo miserável.,1,2023-11-20 14:08:44,Google Classroom,Negativo,governo miserável,govern miser,governo miserável
"Não estou conseguindo entrar no APP, fiz meu cadastro mas quando vou entrar fica pedido meu e-mail mesmo eu já tendo colocado 😑",1,2024-08-05 18:52:26,Google Classroom,Negativo,não estou conseguindo entrar no app fiz meu cadastro mas quando vou entrar fica pedido meu email mesmo eu já tendo colocado 😑,consegu entr app fiz cadastr vou entr fic ped email tend coloc,conseguir entrar app fiz cadastro ir entrar ficar pedir email ter colocar
Horrível muito ruim,1,2024-01-02 22:39:48,Google Classroom,Negativo,horrível muito ruim,horr ruim,horrível ruim
Tenho o WiFi ligado mas mesmo assim o classroom instala devagar,1,2025-12-05 13:18:50,Google Classroom,Negativo,tenho o wifi ligado mas mesmo assim o classroom instala devagar,wif lig assim classroom instal devag,wifi classroom instala devagar
lixo,1,2019-04-22 07:07:22,Khan Academy,Negativo,lixo,lix,lixo
"PERGUNTAS DEMAIS, É PAGO E TEM MUITOS COOKIES, OU SEJA, DUVIDOSO, CARO E INVASIVO",1,2024-03-03 16:11:53,Babbel,Negativo,perguntas demais é pago e tem muitos cookies ou seja duvidoso caro e invasivo,pergunt demal pag muit cooki duvid car invas,pergunta pagar cookie ser duvidoso caro invasivo
Maldito ensino médio achei que tinha me livrado disso na pandemia,1,2023-02-17 08:21:43,Google Classroom,Negativo,maldito ensino médio achei que tinha me livrado disso na pandemia,maldit ensin médi ach livr diss pandem,maldito ensino médio achar ter livrar pandemia
"faz as contas totalmente errado, pessimo aplicativo",1,2026-02-16 10:55:58,Photomath,Negativo,faz as contas totalmente errado pessimo aplicativo,faz cont total err pess aplic,conta totalmente errar pessimo aplicativo
"Tenho a APP já há algum tempo e tenho assistido a vários cursos, esta semana começou a bloquear constantemente sem me deixar assistir a uma aula sequer completa. Este problema é comum a outras pessoas ou só está a acontecer comigo?",2,2024-11-06 12:54:40,Udemy,Negativo,tenho a app já há algum tempo e tenho assistido a vários cursos esta semana começou a bloquear constantemente sem me deixar assistir a uma aula sequer completa este problema é comum a outras pessoas ou só está a acontecer comigo,app algum temp assist vári curs seman começ bloqu const deix assist aul sequ complet problem comum outr pesso acontec comig,app algum assistir curso semana começar bloquear constantemente deixar assistir aula sequer completar problema comum pessoa acontecer comigo
esse é muito legal mesmo😎😎😎😎,1,2026-04-03 00:05:19,Duolingo,Negativo,esse é muito legal mesmo😎😎😎😎,legal mesmo😎😎😎😎,legal
Era melhor antes,2,2024-04-17 11:33:04,Photomath,Negativo,era melhor antes,melhor ant,bom
Não tem para minha idade,1,2025-03-02 23:34:21,Quizlet,Negativo,não tem para minha idade,idad,idade
Orrivel simplesmente,1,2024-02-23 08:51:51,Photomath,Negativo,orrivel simplesmente,orrivel simples,orrivel simplesmente
"App travando na aula, precisa de reparos.",2,2022-10-12 13:03:20,Udemy,Negativo,app travando na aula precisa de reparos,app trav aul precis repar,app travar aula precisar reparo
é muito difícil de entrar,1,2025-05-17 20:38:28,Quizlet,Negativo,é muito difícil de entrar,difícil entr,difícil entrar
n gosto de estudar,1,2025-07-01 13:29:47,Google Classroom,Negativo,n gosto de estudar,gost estud,gosto estudar
Vou editar minha avaliação pq não consigo realizar as atividades de áudio faz um tempo e não sei o pq,2,2026-04-02 13:27:16,Duolingo,Negativo,vou editar minha avaliação pq não consigo realizar as atividades de áudio faz um tempo e não sei o pq,vou edit avali consig realiz ativ áudi faz temp sei,ir editar avaliação consigar realizar atividade áudio
"Aparentemente, não tá funcionado (2025/12/08) depois de atualizar. Já desinstalei, instalei, limpei cache e nada. Sequer consegue listar os cursos à venda.",2,2025-12-08 21:35:35,Udemy,Negativo,aparentemente não tá funcionado depois de atualizar já desinstalei instalei limpei cache e nada sequer consegue listar os cursos à venda,aparent funcion atual desinstal instal limp cach nad sequ conseg list curs vend,aparentemente funcionar atualizar desinstalei instalei Limpei Cache sequer conseguir listar curso venda
Depois de um tempo o app não reconhece o meu email.,1,2023-04-18 21:55:31,Google Classroom,Negativo,depois de um tempo o app não reconhece o meu email,temp app reconhec email,app reconhecer email
Não conssigo instalar a app,1,2024-09-21 15:21:09,Google Classroom,Negativo,não conssigo instalar a app,conssig instal app,conssigar instalar app
aplicativo muito difícil para os alunos c organizar péssimo,1,2025-06-11 15:47:16,Google Classroom,Negativo,aplicativo muito difícil para os alunos c organizar péssimo,aplic difícil alun organiz péss,aplicativo difícil aluno organizar péssimo
"A proposta é interessante, mas vamos lá. Não utilizei o app em si, mas o site, a seleção de conteúdo é escassa e os questionários ilógicos em alguns cursos. No curso de química-EM mais especificamente, não citaram uma sequer vez sobre Dmitri Medeleev e Marie Curie durante as primeiras aulas e cobraram suas vidas inteiras nas questões que deveriam se referentes ao conteúdo (elementos químicos e estrelas). Não recomendo! Achei a plataforma linda mas não dá pra seguir com essa curadoria do assunto.",2,2025-10-24 18:39:11,Khan Academy,Negativo,a proposta é interessante mas vamos lá não utilizei o app em si mas o site a seleção de conteúdo é escassa e os questionários ilógicos em alguns cursos no curso de químicaem mais especificamente não citaram uma sequer vez sobre dmitri medeleev e marie curie durante as primeiras aulas e cobraram suas vidas inteiras nas questões que deveriam se referentes ao conteúdo elementos químicos e estrelas não recomendo achei a plataforma linda mas não dá pra seguir com essa curadoria do assunto,propost interess vam utiliz app sit seleç conteúd escass question ilóg algum curs curs química especific cit sequ vez sobr dmitr medeleev mari curi dur prim aul cobr vid int quest dev refer conteúd element quím estrel recom ach plataform lind pra segu curad assunt,proposta interessante ir utilizei app site seleção conteúdo escasso questionário ilógico curso curso químicaem especificamente citar sequer dmitri Medeleev marie Curie durante primeiro aula cobrar vida inteiro questão dever referente conteúdo elemento químico estrela recomendar achar plataforma lindo pra seguir curadoria assunto
se eu pudesse socar a cara da pessoa que fez a atualização de Ago/25 até minha não cair seria pouco sofrimento pra essa pessoa. a versão de computador ficou inutilizável. tive que fazer gambiarra pra conseguir postar material. a morte é muito pouco pra uma pessoa tão sem mãe quanto quem decidiu fazer essa atualização. desejo tudo de ruim para todos os imbecis envolvidos edit: descobri que consigo usar no computador se eu abrir o navegador em uma aba anônima. ou seja não é questão de permissões,1,2025-08-04 21:39:51,Google Classroom,Negativo,se eu pudesse socar a cara da pessoa que fez a atualização de ago até minha não cair seria pouco sofrimento pra essa pessoa a versão de computador ficou inutilizável tive que fazer gambiarra pra conseguir postar material a morte é muito pouco pra uma pessoa tão sem mãe quanto quem decidiu fazer essa atualização desejo tudo de ruim para todos os imbecis envolvidos edit descobri que consigo usar no computador se eu abrir o navegador em uma aba anônima ou seja não é questão de permissões,pud soc car pesso fez atual ago cair pouc sofr pra pesso vers comput fic inutiliz faz gamb pra consegu post mater mort pouc pra pesso tão mãe quant decid faz atual desej tud ruim tod imbecil envolv edit descobr consig us comput abr naveg aba anôn quest permiss,poder socar cara pessoa atualização ago cair sofrimento pra pessoa versão computador ficar inutilizável gambiarra pra conseguir postar material morte pra pessoa mãe decidir atualização desejo ruim imbecis envolver Edit descobri consigo computador abrir navegador aba anônimo ser permissão
Não gosto de estudar,1,2024-03-11 07:39:30,Google Classroom,Negativo,não gosto de estudar,gost estud,gostar estudar
"O App não ensina idiomas , ele ensinar outros tipos de cursos tipo medicina e variedades de cursos etc , só não ensina idiomas , eu procurei curso de idiomas não achei nenhum idioma",1,2020-06-14 06:20:49,Khan Academy,Negativo,o app não ensina idiomas ele ensinar outros tipos de cursos tipo medicina e variedades de cursos etc só não ensina idiomas eu procurei curso de idiomas não achei nenhum idioma,app ensin idiom ensin outr tip curs tip medicin variedad curs etc ensin idiom procur curs idiom ach nenhum idiom,app ensinar idioma ensinar tipo curso medicina variedade curso etc ensinar idioma procur curso idioma achar nenhum idioma
"Não resolveu um cálculo que eu pedi, decepcionada",1,2024-09-02 01:13:26,Photomath,Negativo,não resolveu um cálculo que eu pedi decepcionada,resolv cálcul ped decepcion,resolver cálculo pedir decepcionar
horrível não instale. só aprendi o básico é tem uns 10 bugs,1,2026-04-04 22:05:48,Duolingo,Negativo,horrível não instale só aprendi o básico é tem uns bugs,horr instal aprend básic um bug,horrível instaler aprender básico bugs
fica desconectando meu usuário o tempo todo,2,2025-04-11 09:28:20,Udemy,Negativo,fica desconectando meu usuário o tempo todo,fic desconect usu temp tod,ficar desconectar usuário
não estou conseguindo logar a minha conta,1,2024-05-14 15:36:14,Google Classroom,Negativo,não estou conseguindo logar a minha conta,consegu log cont,conseguir logar conta
Por que não que inviar as minhas tarefas,1,2022-09-16 11:24:04,Google Classroom,Negativo,por que não que inviar as minhas tarefas,invi taref,inviar tarefa
Já tentei de inúmeras formas cancelar..e não consigo nenhum tipo de retorno..já mandei email...já entrei e segui os passos no app...e simplesmente não.cancelam..QUEROOOO CANCELAR,1,2025-03-15 18:17:12,Babbel,Negativo,já tentei de inúmeras formas cancelare não consigo nenhum tipo de retornojá mandei emailjá entrei e segui os passos no appe simplesmente nãocancelamqueroooo cancelar,tent inúm form cancel consig nenhum tip retornoj mand emailj entr segu pass app simples nãocancelamquerooo cancel,inúmero forma cancelare consigir nenhum retornojá mandar emailjá entrar seguir passo appe simplesmente nãocancelamqueroooo cancelar
Orrivel e de difícil acesso,1,2023-07-05 20:13:38,Udemy,Negativo,orrivel e de difícil acesso,orrivel difícil acess,orrivel difícil acesso
te odeio Khan,1,2024-08-27 13:35:52,Khan Academy,Negativo,te odeio khan,odei khan,odeio khan
ah pq nao?,1,2019-06-13 00:11:20,Khan Academy,Negativo,ah pq nao,nao,nao
"a plataforma é ótima, mas o aplicativo para Android está péssimo, ao transmitir para tv fica a tela preta e só o áudio. observação só fica tela preta nos vídeos pagos os de amostra abre normalmente.",1,2025-12-02 01:38:19,Udemy,Negativo,a plataforma é ótima mas o aplicativo para android está péssimo ao transmitir para tv fica a tela preta e só o áudio observação só fica tela preta nos vídeos pagos os de amostra abre normalmente,plataform ótim aplic android péss transmit fic tel pret áudi observ fic tel pret víde pag amostr abr norm,plataforma ótimo aplicativo android péssimo transmitir ficar tela preto áudio observação ficar tela preto vídeo pagar amostra abrir normalmente
Muito ruim esses quizz,1,2024-06-13 10:02:05,Google Classroom,Negativo,muito ruim esses quizz,ruim quizz,ruim quizz
"Muito ruim agente e obrigado a fazer perdemos nosso,tempo e ainda somos pressionados a fazer e nao podemos dar nossa opinião se nao fala que ta errado e agente perde nota se não fazer",1,2024-06-16 14:00:14,Google Classroom,Negativo,muito ruim agente e obrigado a fazer perdemos nossotempo e ainda somos pressionados a fazer e nao podemos dar nossa opinião se nao fala que ta errado e agente perde nota se não fazer,ruim agent obrig faz perd nossotemp aind pression faz nao pod dar opin nao fal err agent perd not faz,ruim agente perder nossotempo pressionar nao poder opinião nao falar errar agente perder nota
As vezes nega de funcionar porque,1,2024-09-09 15:24:13,Photomath,Negativo,as vezes nega de funcionar porque,vez neg funcion porqu,negar funcionar
"Muito bugado, faz vc repetir a mesma lição mil vezes",1,2026-04-02 23:17:41,Duolingo,Negativo,muito bugado faz vc repetir a mesma lição mil vezes,bug faz repet mesm liç mil vez,bugado repetir mesmo lição
"Estou decepcionado com essa nova atualização, agora para ter uma explicação passo a passo precisa pagar, antes o app era muito útil.",1,2024-03-02 00:41:28,Photomath,Negativo,estou decepcionado com essa nova atualização agora para ter uma explicação passo a passo precisa pagar antes o app era muito útil,decepcion nov atual agor ter explic pass pass precis pag ant app útil,decepcionado atualização explicação passo passo precisar pagar app útil
"Um lixo, não consigo nem me cadastrar no aplicativo usando o Facebook ou usando o Google que fica no login infinito, vou pra Hotmart",1,2024-07-21 20:13:04,Udemy,Negativo,um lixo não consigo nem me cadastrar no aplicativo usando o facebook ou usando o google que fica no login infinito vou pra hotmart,lix consig cadastr aplic us facebook us googl fic login infinit vou pra hotmart,lixo consigir cadastrar aplicativo usar facebook usar google ficar login infinito ir pra hotmart
Ñ gostei 😐,1,2023-03-27 20:26:27,Google Classroom,Negativo,ñ gostei 😐,gost,gostar
Não aceita editar os trabalhos nem salvar para devolução. Problema urgente!,1,2023-07-09 21:17:27,Google Classroom,Negativo,não aceita editar os trabalhos nem salvar para devolução problema urgente,aceit edit trabalh salv devoluç problem urgent,aceitar editar trabalho salvar devolução problema urgente
Os exercícios e tema das aulas são bem bolos. Não agrega muito.,1,2023-03-20 19:31:55,Babbel,Negativo,os exercícios e tema das aulas são bem bolos não agrega muito,exercíci tem aul bem bol agreg,exercício tema aula bolo agregar
Só baixei isso pq minha professora me obrigou,1,2020-02-12 20:51:40,Khan Academy,Negativo,só baixei isso pq minha professora me obrigou,baix profes obrig,baixei professora obrigar
chato por usuários,2,2025-10-08 17:02:54,Quizlet,Negativo,chato por usuários,chat usu,chato usuário
Problemas de sincronização entre o app e o site.,2,2025-07-12 21:53:10,Quizlet,Negativo,problemas de sincronização entre o app e o site,problem sincron app sit,problema sincronização app site
